                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.9544,                 1.0645,                 1.4007,                0.77008,                 0.6214,                0.69744,                0.32304,                 1.9262,                 1.1061,                  1.548,               0.000614,               0.000614,               0.000614
                     73,                 1.9457,                 1.0747,                 1.4274,                0.79864,                0.60082,                0.69725,                0.31952,                 1.9116,                 1.1134,                 1.5402,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.9704,                 1.0792,                 1.4404,                  0.777,                0.61862,                0.69578,                0.32563,                 1.8943,                 1.1399,                 1.5343,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.9502,                 1.0812,                 1.4076,                0.78948,                0.60317,                0.69547,                0.31791,                 1.9354,                 1.1232,                 1.5553,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.9103,                 1.0401,                 1.4241,                0.76661,                0.59284,                0.65814,                0.30248,                 1.9816,                 1.1617,                 1.5757,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.9419,                 1.0599,                 1.4233,                0.78677,                0.63121,                 0.7029,                0.32075,                  1.928,                  1.077,                  1.556,               0.000515,               0.000515,               0.000515
                     78,                 1.9203,                 1.0633,                 1.4157,                0.79491,                0.61295,                0.69719,                  0.322,                 1.9306,                 1.1036,                 1.5453,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.9132,                 1.0311,                 1.4067,                0.79799,                0.60141,                0.67809,                0.31354,                 1.9538,                 1.1107,                 1.5701,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.9432,                 1.0514,                 1.4211,                0.78744,                0.58495,                0.66683,                0.30954,                 1.9546,                  1.143,                  1.567,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.8981,                 1.0268,                 1.4087,                0.78343,                0.62787,                 0.6977,                0.32521,                 1.9189,                 1.0966,                 1.5439,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.9272,                 1.0375,                 1.4199,                0.77711,                0.61492,                0.69941,                0.32567,                 1.9166,                 1.0975,                 1.5419,               0.000416,               0.000416,               0.000416
                     83,                 1.9248,                  1.043,                 1.4094,                0.78788,                0.60486,                0.69553,                0.32064,                 1.9155,                 1.1073,                 1.5399,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.8743,                 1.0108,                  1.399,                0.81341,                0.61728,                0.71208,                0.32845,                 1.9169,                 1.0879,                 1.5378,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.9193,                 1.0252,                 1.4185,                0.77326,                0.63155,                0.70847,                0.32812,                 1.9039,                 1.0793,                 1.5309,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.9143,                 1.0346,                 1.4189,                0.79405,                0.62257,                0.70674,                0.32026,                  1.936,                 1.0857,                 1.5444,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.8987,                 1.0089,                 1.3925,                0.80439,                0.60847,                0.69371,                0.32072,                 1.9325,                 1.0868,                 1.5486,               0.000317,               0.000317,               0.000317
                     88,                 1.8934,                 1.0336,                  1.383,                  0.801,                   0.62,                0.71391,                0.33051,                  1.912,                 1.0793,                 1.5338,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.8607,                 1.0091,                 1.3966,                0.80825,                  0.602,                0.69386,                0.32058,                 1.9292,                 1.1077,                 1.5516,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.8841,                 1.0069,                 1.3904,                 0.8093,                0.60127,                 0.6944,                0.32168,                  1.928,                 1.1306,                 1.5461,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.8641,                  1.012,                 1.4354,                0.80452,                 0.5826,                0.66621,                0.31054,                 1.9396,                 1.1819,                 1.5629,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.8925,                 1.0221,                 1.4502,                0.78681,                0.64021,                0.72931,                0.33609,                 1.9056,                 1.0456,                 1.5317,               0.000218,               0.000218,               0.000218
                     93,                 1.8837,                 1.0011,                 1.4401,                0.79675,                0.59906,                0.69362,                 0.3242,                 1.9359,                 1.0928,                 1.5487,              0.0001982,              0.0001982,              0.0001982
                     94,                  1.897,                 1.0019,                 1.4514,                0.80818,                0.60376,                0.69489,                0.32395,                 1.9151,                 1.1275,                 1.5401,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.8553,                 0.9848,                 1.4427,                0.80013,                0.61023,                0.70395,                0.32873,                 1.9205,                 1.0925,                   1.54,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.8982,                  1.006,                 1.4418,                0.78154,                0.63094,                 0.7133,                 0.3323,                 1.9081,                 1.0678,                 1.5307,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.8612,                0.98349,                 1.4311,                0.81163,                0.59781,                0.69642,                0.32609,                 1.9199,                 1.1214,                 1.5401,               0.000119,               0.000119,               0.000119
                     98,                 1.8929,                 1.0047,                 1.4174,                0.81929,                0.60503,                0.70305,                0.32594,                 1.9238,                 1.0986,                 1.5404,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.8419,                0.97697,                 1.4329,                 0.7882,                0.61905,                0.71249,                0.32962,                 1.9216,                 1.0874,                 1.5362,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.8348,                0.99229,                 1.4289,                  0.798,                0.61728,                0.70944,                0.33083,                 1.9212,                 1.0808,                 1.5367,               5.96e-05,               5.96e-05,               5.96e-05
